restaurant_name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,restaurant_type
Kitchen24,Yes,No,3.700497969,0,BTM,"Italian, Continental, Chinese, Thai, American, Arabian",150,Delivery
Desi Vibes,Yes,No,3.7,46,BTM,"North Indian, Chinese",300,Delivery
The Cravery,Yes,No,2.6,18,JP Nagar,Cafe,250,Delivery
Hotel Archana Grand,Yes,No,3.5,22,Bommanahalli,"Chinese, North Indian",250,Delivery
Chakh Le india,Yes,No,3.2,6,Bommanahalli,"North Indian, Chinese",125,Delivery
2nd Home Restaurant,Yes,No,3.7,21,BTM,"South Indian, North Indian, Chinese",250,Delivery
Hello Brother Hotel,No,No,3.4,6,HSR,"North Indian, Chinese",150,Delivery
Wakeup Cafe,Yes,No,3.4,9,HSR,"Fast Food, Beverages",150,Delivery
Kallummakkaya,Yes,No,3.700497969,0,BTM,"South Indian, North Indian",100,Delivery
Chill-Um Cafe,Yes,Yes,4.1,151,Koramangala 6th Block,"Cafe, Chinese, Continental",300,Delivery
McLeans Italian Pizzeria,Yes,No,3.4,30,Ejipura,"American, Pizza",250,Delivery
Bay Root,No,No,3.7,24,BTM,"North Indian, Arabian",200,Delivery
Abhiruchi,Yes,No,2.9,36,HSR,"Andhra, Chinese, Biryani",200,Delivery
Tentacles,Yes,No,3.700497969,0,BTM,"North Indian, Chinese, Seafood",300,Delivery
Pallavi North Indian Veg Restaurant,Yes,No,3.7,244,JP Nagar,"Biryani, North Indian, Chinese",225,Delivery
Melt - Eden Park,Yes,Yes,4,347,JP Nagar,"North Indian, Chinese, Thai, Mughlai, Seafood",500,Delivery
Cafemoto,Yes,No,4,201,Koramangala 5th Block,"Cafe, Continental, Italian, Burger",400,Delivery
Forum Bakes & Cafe,Yes,No,3.700497969,0,Koramangala 8th Block,"Bakery, Fast Food",100,Delivery
Breaktime Brew,Yes,No,3.7,24,Koramangala 7th Block,Cafe,275,Delivery
Kapoor's Biriyani,Yes,No,3.3,334,BTM,"Biryani, North Indian",200,Delivery
Kokomo,Yes,No,4,193,Koramangala 6th Block,"Thai, Chinese",250,Delivery
24/7 Food Service,Yes,No,2.9,7,JP Nagar,"South Indian, North Indian, Fast Food",150,Delivery
Zhangs Classic,Yes,No,2.6,170,Bannerghatta Road,"Italian, Chinese, Japanese",300,Delivery
Keep It Straight Cafe,Yes,Yes,3.9,202,HSR,"Cafe, North Indian, Fast Food",250,Delivery
Sethi's,Yes,No,3.700497969,0,HSR,"North Indian, Chinese, BBQ",300,Delivery
Miss Momo,Yes,No,3.2,10,BTM,"Tibetan, Momos",125,Delivery
Rollin,Yes,No,4.1,209,Koramangala 4th Block,"Continental, Pizza, Chinese",200,Delivery
GFC Biryani,Yes,No,3.700497969,0,BTM,Biryani,150,Delivery
Perch,Yes,No,3.700497969,0,BTM,Italian,175,Delivery
Donne Biriyani House,Yes,No,3.8,278,HSR,Biryani,100,Delivery
Smiley's Kitchen,Yes,No,3.700497969,0,Koramangala 1st Block,"North Indian, Fast Food",225,Delivery
Malhar Maharashtrian Cuisine,Yes,No,4,101,Bannerghatta Road,Maharashtrian,250,Delivery
Habitts,Yes,No,3.7,61,BTM,"Fast Food, Sandwich, Italian",225,Delivery
Limra Hotel,Yes,No,3.3,26,BTM,"Chinese, North Indian",150,Delivery
Dal Roti,Yes,No,3.7,117,JP Nagar,North Indian,75,Delivery
Brewz Coffee,Yes,No,3,61,BTM,Cafe,325,Delivery
Waffle In The Box,Yes,No,3.700497969,0,HSR,Desserts,150,Delivery
Earth Plate Express,Yes,No,3.9,33,JP Nagar,"Italian, Continental",300,Delivery
Kolkata Famous Katti Rolls,Yes,No,3.6,36,BTM,"Fast Food, Rolls",100,Delivery
Al Habibi Restaurant,Yes,No,3.5,17,BTM,"North Indian, Chinese",150,Delivery
BTM Bawarchi Biryani,Yes,No,3.5,132,BTM,"Biryani, North Indian, Chinese",300,Delivery
Punjabi Chulha,Yes,No,3.8,38,Koramangala 1st Block,North Indian,200,Delivery
Under The Hood,Yes,No,4,76,Koramangala 1st Block,"Salad, Healthy Food, Street Food",150,Delivery
Berry'd Alive,Yes,No,4.3,1899,Koramangala 5th Block,Desserts,200,Delivery
Ghar Ka Khana,Yes,No,3.7,95,Koramangala 1st Block,North Indian,75,Delivery
Burger Lounge,Yes,No,3,72,Koramangala 5th Block,"Burger, Fast Food, Beverages",300,Delivery
The Kream Story,Yes,No,4.1,37,Koramangala 7th Block,"Desserts, Fast Food",250,Delivery
AutoExpress - Hot Dogs,Yes,No,3.3,5,HSR,Fast Food,150,Delivery
The Breakfast Adda,Yes,No,3.700497969,0,Bannerghatta Road,Continental,125,Delivery
Totus,Yes,No,3.700497969,0,BTM,Chinese,150,Delivery
Super Thali,Yes,No,3.700497969,0,BTM,North Indian,225,Delivery
Jayanagar Grill House,Yes,No,3.5,35,Jayanagar,"Biryani, Kebab",125,Delivery
Banana Beach Bar,Yes,Yes,3.7,1014,Koramangala 6th Block,"Continental, Chinese",650,Delivery
Y Not Restaurant,Yes,No,3,4,JP Nagar,Fast Food,150,Delivery
Taza Khaana,Yes,No,3,175,HSR,"Chinese, North Indian",225,Delivery
Hunger Night King,Yes,No,3.6,112,Koramangala 2nd Block,"North Indian, Chinese",200,Delivery
Kabab Treat,Yes,No,2.8,335,Bannerghatta Road,"North Indian, Chinese",250,Delivery
Chef Master,Yes,No,3.8,75,Jayanagar,"Kerala, North Indian, Chinese",150,Delivery
Ilyazsab Shawarma Cafe,Yes,No,3.700497969,0,Jayanagar,"Fast Food, Rolls",150,Delivery
Lunch & Munch,Yes,No,3.700497969,0,BTM,"North Indian, Fast Food, Beverages",250,Delivery
Davangere Benna Dose Hotel,Yes,No,4.1,90,Jayanagar,South Indian,50,Delivery
Double Blend,Yes,No,3.6,11,BTM,"Beverages, Juices, Ice Cream",100,Delivery
Ande Ka Funda,No,No,3.5,27,BTM,North Indian,100,Delivery
Mist n Creams,Yes,No,3.700497969,0,Ejipura,Ice Cream,200,Delivery
Wat-a-Biryani,Yes,No,3.700497969,0,Koramangala 4th Block,Biryani,250,Delivery
Hasini Foods,Yes,No,2.9,21,Koramangala 4th Block,"Andhra, Chinese, North Indian",225,Delivery
Kolkata Famous Kati Rolls,Yes,No,3.1,25,Bannerghatta Road,"Fast Food, Rolls",50,Delivery
Kataria's Home Food,Yes,No,3.1,40,BTM,North Indian,200,Delivery
The Biriyani Factory,Yes,No,3.1,30,BTM,"North Indian, Biryani",250,Delivery
Smoke Oil Salt,Yes,No,3.700497969,0,BTM,Arabian,425,Delivery
Night Spoon,Yes,No,2.6,54,BTM,"Biryani, Chinese, North Indian",300,Delivery
Gilly's Restobar,No,Yes,4.5,3902,Koramangala 5th Block,"Finger Food, Continental, North Indian",500,Delivery
The 90s Hash House,No,No,3.8,63,BTM,Cafe,250,Delivery
The Food Dude,Yes,No,4,176,Koramangala 6th Block,"Fast Food, Burger, Sandwich, Pizza",150,Delivery
The Night Watch Express,Yes,No,3,53,Koramangala 1st Block,"North Indian, Chinese",250,Delivery
Pensiri Cafe,Yes,No,3.5,48,HSR,North Indian,150,Delivery
Marunadan Kada,No,No,3.3,6,BTM,"Kerala, Tea",125,Delivery
Happy Eats,Yes,No,3.700497969,0,Koramangala 7th Block,"North Indian, Continental",150,Delivery
The Kitchen Bandit,Yes,No,3.2,42,Koramangala 2nd Block,"Chinese, North Indian, Fast Food",175,Delivery
Sandwich Shop,Yes,No,2.9,47,JP Nagar,"Fast Food, Burger, Sandwich",200,Delivery
Siddique Kabab Centre,Yes,No,3.1,68,Jayanagar,"Mughlai, Kebab, Chinese",275,Delivery
China Down Town,Yes,No,3.5,5,Koramangala 4th Block,Chinese,400,Delivery
Bottle Breacher,No,Yes,4.2,1192,JP Nagar,"Italian, Continental",600,Delivery
BTM Cakes,Yes,No,3.3,8,BTM,"Bakery, Desserts",200,Delivery
Fresh Bites,Yes,No,3.3,16,Koramangala 1st Block,"Italian, Fast Food",200,Delivery
Cake Fantasy,Yes,No,3.700497969,0,Koramangala 4th Block,"Desserts, Bakery",150,Delivery
Lassi Pot,Yes,No,3.3,4,BTM,Beverages,125,Delivery
Royal View Restaurant,Yes,No,3.7,26,BTM,"North Indian, Chinese, Arabian",350,Delivery
Ober Cafe,Yes,No,3.5,10,Koramangala 1st Block,"Fast Food, Desserts",100,Delivery
Sids Cafe,Yes,No,3.700497969,0,Koramangala 5th Block,Fast Food,100,Delivery
Truffles,No,No,4.7,14654,Koramangala 5th Block,"Cafe, American, Burger, Steak",450,Delivery
Eat Well,Yes,No,2.9,22,JP Nagar,"North Indian, Chinese",200,Delivery
Friends Night Kitchen,Yes,No,3.8,109,Koramangala 6th Block,"Italian, Pizza",200,Delivery
Mealsbaba,Yes,No,3.7,57,HSR,North Indian,200,Delivery
Tawa,Yes,No,3.4,25,Koramangala 1st Block,North Indian,100,Delivery
The Kitchen Story,Yes,No,3.3,18,HSR,"North Indian, Chinese",150,Delivery
Ambur Hot Dum Biryani,No,No,3.5,21,BTM,Biryani,100,Delivery
Dyu Art Cafe,No,No,4.5,3826,Koramangala 5th Block,"Cafe, Italian, Fast Food",400,Delivery
House of Chaaps,Yes,No,3.700497969,0,Koramangala 1st Block,"North Indian, Rolls",225,Delivery
Just Bite@Late Night,Yes,No,3.700497969,0,BTM,"Sandwich, Fast Food, Burger, Rolls",150,Delivery
Egg Star,Yes,No,3.6,19,HSR,"Healthy Food, Sandwich",150,Delivery
BBQ Ride 46,Yes,No,3.4,7,South Bangalore,BBQ,100,Delivery
Lucky's Biriyani Point,Yes,No,3.4,9,HSR,"Biryani, South Indian, North Indian, Fast Food",200,Delivery
Nuty,Yes,No,3.700497969,0,HSR,"North Indian, Biryani",150,Delivery
Mistaan Sweets And Chaat,Yes,No,3.700497969,0,HSR,"Street Food, Mithai",100,Delivery
Om Made Cafe,No,No,4,2729,Koramangala 5th Block,"Cafe, Continental, European, Juices",650,Delivery
Kesariya,No,Yes,4.2,1214,JP Nagar,Rajasthani,600,Delivery
Khichadiwala,Yes,No,3.9,15,HSR,North Indian,200,Delivery
Raptures Chocolates,Yes,No,3.700497969,0,Koramangala 4th Block,Desserts,125,Delivery
Zengi Pub & Restaurant,Yes,No,3.7,32,BTM,"Finger Food, Continental, Chinese",450,Delivery
Nile Garden Restaurant,Yes,No,2.6,33,BTM,"North Indian, Fast Food, Chinese, Beverages",250,Delivery
Kullukki,Yes,No,3.5,9,Koramangala 5th Block,"Juices, Beverages, Fast Food",200,Delivery
Sri Bhagya Grand,Yes,No,3.4,185,Bannerghatta Road,"South Indian, North Indian, Chinese, Street Food, Beverages",225,Delivery
Big Wong XL,No,Yes,4.5,678,Koramangala 5th Block,"Chinese, Sushi, Asian, Thai",700,Delivery
Nagarjuna,No,No,4.3,2296,Koramangala 5th Block,"Andhra, North Indian, Biryani",400,Delivery
Kritunga Restaurant,No,No,3.8,1159,Koramangala 5th Block,"Andhra, Biryani, North Indian, Chinese",325,Delivery
Hunan,No,Yes,4.3,2241,Koramangala 5th Block,"Chinese, Thai, Momos",550,Delivery
Khawa Karpo,No,No,4.3,988,Koramangala 5th Block,"Chinese, Tibetan, Momos",175,Delivery
The Himalayan,No,Yes,4.4,320,Koramangala 5th Block,Korean,600,Delivery
Art of Delight,No,No,4.3,449,Koramangala 5th Block,"Ice Cream, Desserts, Beverages",200,Delivery
Coastal Mama,No,Yes,4.1,466,JP Nagar,"Konkan, Mangalorean, North Indian, Seafood",350,Delivery
Side Street Kitchen,No,No,3.700497969,0,Koramangala 5th Block,"Kerala, Chinese, Fast Food",200,Delivery
Nouvelle Garden,No,No,3.7,202,JP Nagar,"North Indian, Continental, Italian",450,Delivery
Vaho Kafe & Pressery,No,No,3.9,124,Bannerghatta Road,"Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",250,Delivery
Royal Chef Naati Oota,No,No,4,193,JP Nagar,"South Indian, Biryani, North Indian",250,Delivery
The Home Kitchen,No,No,3.700497969,0,Bommanahalli,North Indian,125,Delivery
Food And You,No,No,3.8,89,Koramangala 5th Block,"North Indian, Gujarati",150,Delivery
Crave Bite,No,No,3.6,19,Jayanagar,"Chinese, Italian, Fast Food, Momos",200,Delivery
Curries & Pickles,No,No,3.700497969,0,Bommanahalli,"Andhra, Chinese",150,Delivery
Donne Biriyani Mane,No,No,3.700497969,0,JP Nagar,"Biryani, Kebab",125,Delivery
Biryani Knights,No,No,3.6,21,JP Nagar,Biryani,150,Delivery
D-Ra's Delicacy,No,No,3.700497969,0,Koramangala 7th Block,"Chinese, Bakery",200,Delivery
Swad Family Restaurant,No,No,3.700497969,0,Bannerghatta Road,"North Indian, Chinese",325,Delivery
Papa Khan Biryani,No,No,3.700497969,0,Bannerghatta Road,"Biryani, Mughlai",150,Delivery
Om Nom Thai,No,No,3.700497969,0,South Bangalore,"Thai, Momos",200,Delivery
Home Treats,No,No,3.700497969,0,JP Nagar,"Bakery, Desserts",125,Delivery
Kopper Pot,No,No,3.700497969,0,Bannerghatta Road,Bakery,250,Delivery
Rahar Momo & Cane,No,No,3.700497969,0,Marathahalli,Fast Food,100,Delivery
ThugLife Rolls,No,No,3.700497969,0,Hosur Road,Rolls,100,Delivery
Mast Kalandar,No,No,2.3,175,JP Nagar,North Indian,225,Delivery
Dum & Oven,No,No,3.7,29,HSR,"North Indian, Hyderabadi, Continental",300,Delivery
Now Momos,No,No,3.4,11,Koramangala 7th Block,"Chinese, Fast Food, Momos",100,Delivery
Ammi's Biryani,No,No,2.7,77,Bommanahalli,"Biryani, North Indian",250,Delivery
Midnight Express,No,No,2.8,26,Koramangala 5th Block,"North Indian, Chinese, Continental",325,Delivery
Bao and Rolls,No,No,3.6,19,Bannerghatta Road,"Rolls, Kebab, Fast Food",125,Delivery
Mr Shawarma,No,No,3.700497969,0,Bannerghatta Road,Fast Food,100,Delivery
Hungry Bowl,No,No,3.6,51,Koramangala 5th Block,"North Indian, Chinese, Italian",250,Delivery
Food Feast Multicusine Restaurant,No,No,3.3,16,Bannerghatta Road,"North Indian, Chinese, Hyderabadi",300,Delivery
Midnight Hunger Solutions 24/7,No,No,3.2,11,Koramangala 5th Block,"North Indian, Mughlai, Chinese",250,Delivery
Night Panda,No,No,2.9,39,JP Nagar,"Fast Food, North Indian, Chinese",250,Delivery
Tandoor Hut,No,No,2.2,90,Bannerghatta Road,"North Indian, Chinese",375,Delivery
Owly,No,No,3.7,27,Koramangala,"Fast Food, North Indian",175,Delivery
Sapid,No,No,3.700497969,0,Bannerghatta Road,North Indian,125,Delivery
Royal Lunch Home,No,No,3.700497969,0,Koramangala 2nd Block,North Indian,75,Delivery
Best Biryani,No,No,3.700497969,0,HSR,"North Indian, Biryani",250,Delivery
Night Hunger,No,No,3.1,6,JP Nagar,North Indian,175,Delivery
Food Goodie,No,No,3.700497969,0,HSR,Biryani,225,Delivery
Midnight Special,Yes,No,3.700497969,0,HSR,"North Indian, Fast Food, Chinese",250,Delivery
Choo Zi,No,No,3.700497969,0,Koramangala 5th Block,Chinese,150,Delivery
Star Bowl,Yes,No,3.700497969,0,HSR,"North Indian, Chinese, Rolls",325,Delivery
Vennela Andhra Meals,Yes,No,3,23,Jayanagar,Andhra,200,Delivery
Petoo,Yes,No,3.8,178,Koramangala 1st Block,"North Indian, Fast Food, Street Food",400,Delivery
Polamma's Mess,Yes,No,4.2,185,BTM,"North Indian, Chinese, Biryani",150,Delivery
Juice Fresco & Pizza,Yes,No,3.4,12,JP Nagar,"Beverages, Pizza",150,Delivery
Dazu Momoz,Yes,No,3.700497969,0,BTM,"Tibetan, Momos",100,Delivery
Ghar Ki Rasoi,Yes,No,3.700497969,0,Koramangala 8th Block,"North Indian, South Indian",150,Delivery
Hottey Smokey,Yes,No,3.700497969,0,HSR,"Asian, Salad, Italian",200,Delivery
Swad Plaza,Yes,No,3.4,6,BTM,"North Indian, Chinese",200,Delivery
Kebarbiq,Yes,No,4,138,Koramangala 7th Block,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",400,Delivery
Red Bawarchi,Yes,No,3,21,BTM,"Biryani, Chinese, North Indian",300,Delivery
8 Slice,Yes,No,3.7,74,Koramangala 6th Block,Pizza,300,Delivery
Snack Souq,Yes,No,3.700497969,0,BTM,"Chinese, Rolls",125,Delivery
Dosa Bazaar,Yes,No,3.9,112,JP Nagar,"Street Food, South Indian",100,Delivery
Pakiza Dilli Darbar Restaurant,Yes,No,3.2,13,BTM,Biryani,150,Delivery
Intriicake,Yes,No,3.8,34,HSR,"Bakery, Desserts, Italian, North Indian, Fast Food",175,Delivery
Queen Pearls,Yes,No,3.6,25,Ejipura,Pizza,250,Delivery
Sunny's Kitchen,Yes,No,3.7,62,HSR,"Continental, American",250,Delivery
Bhaijaan Barbeques,Yes,No,3.5,9,South Bangalore,"Mughlai, Arabian, BBQ",100,Delivery
Miss Momo,Yes,No,3.2,12,BTM,"Tibetan, Momos",125,Delivery
The Chaat Shop,No,No,3.2,9,BTM,Street Food,50,Delivery
Mahek Pizza,Yes,No,3.9,38,JP Nagar,Pizza,200,Delivery
Wedding Biryani,Yes,No,3.700497969,0,HSR,"Biryani, Kebab",300,Delivery
Halo Chef,Yes,No,3.9,145,Koramangala 4th Block,North Indian,250,Delivery
Crepe Nation,Yes,No,3.8,12,South Bangalore,"Fast Food, Desserts",150,Delivery
Natuna Seafood House,Yes,No,4.2,76,Koramangala 5th Block,Seafood,225,Delivery
BMR Hyderabad Biryani,Yes,No,3.6,24,BTM,Biryani,200,Delivery
TangyLicious,Yes,No,2.6,16,BTM,Fast Food,200,Delivery
The Duke of Juices,Yes,No,2.8,5,HSR,"Juices, Beverages, Salad",100,Delivery
Gourmet Food Truck,Yes,No,3.6,15,South Bangalore,Chinese,100,Delivery
Spicy World,Yes,No,3.4,7,JP Nagar,North Indian,100,Delivery
Chination,Yes,No,3.5,4,Koramangala 4th Block,Chinese,300,Delivery
Delhi Food Factory,Yes,No,3.700497969,0,Koramangala 4th Block,North Indian,250,Delivery
Hungry Stone,Yes,No,3.700497969,0,Koramangala 5th Block,"North Indian, Chinese, Italian, Thai",150,Delivery
Delicious Demons,Yes,No,3.3,26,Koramangala 1st Block,Continental,200,Delivery
Mumbai Kulfi,Yes,No,3.700497969,0,Marathahalli,"Desserts, Ice Cream",100,Delivery
Gharelu Zaika,Yes,No,3.7,22,JP Nagar,North Indian,125,Delivery
Deja Vu Resto Bar,Yes,Yes,4.4,2493,Bannerghatta Road,"North Indian, Italian",450,Delivery
The Rice Company,No,No,3.700497969,0,Koramangala 4th Block,"North Indian, Biryani",300,Delivery
HungerLoft,Yes,No,2.5,109,BTM,"North Indian, Chinese, Arabian",400,Delivery
RCS Kitchen,Yes,No,3.3,34,BTM,Continental,250,Delivery
Bhavani Upahara,Yes,No,3.3,9,Bannerghatta Road,South Indian,125,Delivery
The Blue Wagon - Kitchen,Yes,No,4.6,230,Jayanagar,"Cafe, Beverages",200,Delivery
Eat & Joy Restaurant,Yes,No,3.1,7,JP Nagar,"Fast Food, Finger Food",150,Delivery
Zero Kelvin,Yes,No,4.3,169,Koramangala 4th Block,"Desserts, Beverages",225,Delivery
Ocean,Yes,No,3.8,213,Koramangala 6th Block,"Mexican, Continental, Italian, Chinese",350,Delivery
Kulfi & More,Yes,No,3.7,47,BTM,"Ice Cream, Beverages",100,Delivery
Biryani Rooh-e-Khaas,Yes,No,3.700497969,0,Koramangala 1st Block,"Biryani, Mughlai",250,Delivery
Punjabi Unplugged,Yes,No,3.700497969,0,Koramangala 1st Block,North Indian,250,Delivery
Billionaires Cafe,Yes,No,3.8,47,Koramangala 5th Block,"Cafe, Italian",300,Delivery
Sagar Fast Food,Yes,No,3.7,66,BTM,"South Indian, Chinese, North Indian",150,Delivery
Subham Pal Kitchen,Yes,No,3.3,10,Koramangala 1st Block,"North Indian, Chinese",150,Delivery
La Passion Cafe,Yes,No,3.700497969,0,BTM,Cafe,250,Delivery
The Retro,Yes,No,3.2,47,Koramangala 7th Block,"Chinese, Burger",150,Delivery
Raj Darbar,Yes,No,3.7,47,Koramangala 6th Block,"North Indian, Chinese, Bengali",400,Delivery
Akshaya Grand,Yes,No,3.4,29,BTM,North Indian,375,Delivery
Cool Bites,Yes,No,3.700497969,0,Koramangala 4th Block,"Fast Food, Juices",100,Delivery
House Of Commons,No,Yes,4.8,4390,Koramangala 5th Block,"Continental, Asian, North Indian",500,Delivery
Haji Ali Juice Centre,Yes,No,4,152,Koramangala 5th Block,"Beverages, Fast Food, Desserts",175,Delivery
Happy Brew,No,Yes,4,2151,Koramangala 5th Block,"Continental, American, Chinese, BBQ, Salad",500,Delivery
The Juicy,Yes,No,3.5,13,JP Nagar,"Beverages, Juices",50,Delivery
Krishna Grand,Yes,No,3.2,42,HSR,South Indian,100,Delivery
Shri Vinayaka Ice N Juice,Yes,No,3.7,17,Jayanagar,"Fast Food, Beverages",100,Delivery
Upahara Sagar,Yes,No,3,25,Jayanagar,"South Indian, North Indian, Chinese",150,Delivery
Chawla's 2 Online.com,Yes,No,3.700497969,0,HSR,North Indian,400,Delivery
Namms Cafe,Yes,No,3.1,7,Koramangala 2nd Block,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",150,Delivery
Bare Grills,Yes,No,3.700497969,0,Koramangala 6th Block,"Rolls, BBQ, Kebab",175,Delivery
Rayalaseema Ruchulu,Yes,No,3.700497969,0,BTM,"Andhra, North Indian",350,Delivery
Polar Bear,Yes,No,3.700497969,0,CV Raman Nagar,Ice Cream,75,Delivery
Over The Top Terrace Lounge,No,Yes,3.9,1388,Koramangala 5th Block,"Continental, North Indian",700,Delivery
Sri Krishna Delight,Yes,No,3.700497969,0,BTM,"North Indian, South Indian",125,Delivery
Mr.Khana Khazana,Yes,No,3.700497969,0,HSR,North Indian,200,Delivery
Green Mango Restaurant,Yes,No,3.700497969,0,BTM,"Kerala, South Indian",150,Delivery
Tella Tales,Yes,No,4.2,413,Koramangala 5th Block,"Cafe, Desserts, Beverages",350,Delivery
M World Cafe,Yes,No,3.5,14,Koramangala 1st Block,Cafe,250,Delivery
Targaryen's Kitchen,Yes,No,3.6,43,JP Nagar,"Chinese, North Indian, Mughlai",300,Delivery
Heritage Cafe,Yes,No,3.6,11,Jayanagar,"Fast Food, Tea",100,Delivery
Sampoorna,Yes,No,3.6,70,JP Nagar,"Chinese, North Indian",300,Delivery
Chai Kraft,Yes,No,3.700497969,0,BTM,"Beverages, Tea",50,Delivery
Namaste Kitchen,Yes,No,3.8,172,Koramangala 5th Block,"North Indian, South Indian, Chinese",200,Delivery
India On Wheels,Yes,No,3.6,11,Koramangala 3rd Block,North Indian,200,Delivery
Wings Mama,Yes,No,3.700497969,0,HSR,"American, Fast Food",150,Delivery
Naati Biriyani,Yes,No,3.1,4,BTM,"Kebab, Biryani",150,Delivery
Crystal Grandeur,Yes,No,3.700497969,0,Jayanagar,"North Indian, Chinese, Continental",300,Delivery
Namma Halli Jonne Biryani,Yes,No,3.3,4,Bannerghatta Road,Biryani,150,Delivery
Manashi Paratha & Pav Bhaji,Yes,No,3.700497969,0,HSR,"Fast Food, North Indian",100,Delivery
California Burrito,No,No,4.1,1223,Koramangala 5th Block,"Mexican, Fast Food",200,Delivery
Royal Treat,No,No,4.1,435,Koramangala 5th Block,"North Indian, Chinese, Biryani",250,Delivery
Moghul Durbar Restaurant,No,No,4,335,Jayanagar,"North Indian, BBQ, Kebab, Rolls",275,Delivery
Nourich,Yes,Yes,3.700497969,0,JP Nagar,"Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",400,Delivery
Enerjuvate Studio & Cafe,No,Yes,4.4,464,Koramangala 4th Block,"Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",400,Delivery
Checkpost,Yes,No,4.1,956,JP Nagar,"South Indian, Seafood, North Indian, Beverages",300,Delivery
Market Table,No,Yes,4.5,546,Koramangala 5th Block,"Cafe, Continental, Mediterranean, Beverages",450,Delivery
Anjappar,No,No,3.9,1155,Koramangala 4th Block,"Chettinad, South Indian",325,Delivery
Nandhana Palace,No,Yes,4.1,770,Koramangala 4th Block,"Andhra, Biryani, North Indian, Chinese",400,Delivery
Indian Coffee House & Restaurant,No,No,4.1,674,Koramangala 5th Block,"South Indian, North Indian, Chinese",325,Delivery
Samosa Party,No,No,4.1,42,Koramangala 5th Block,"Street Food, Fast Food",75,Delivery
BEIR,Yes,No,3.700497969,0,Bannerghatta Road,"Mexican, American",400,Delivery
Mak n Vak - Fyn,Yes,No,3.9,337,HSR,"North Indian, Chinese",250,Delivery
Johnny Fox,No,No,3.9,66,Hosur Road,"North Indian, Chinese",750,Delivery
The Yellow Tuk-Tuk Cafe,Yes,No,3.6,16,Koramangala 5th Block,"Cafe, Continental, Beverages",250,Delivery
Baba Da Dhaba,No,Yes,4.1,446,Koramangala 7th Block,North Indian,325,Delivery
The ThickShake Factory,No,No,4.3,235,Koramangala 7th Block,"Beverages, Juices",175,Delivery
Navya Andhra Style Restaurant,No,No,3.5,12,Hosur Road,"North Indian, South Indian",100,Delivery
Hari Super Sandwich,No,No,4,161,Jayanagar,"Fast Food, Street Food",100,Delivery
Taj Durbar,No,No,3.8,83,Jayanagar,"North Indian, BBQ",200,Delivery
Hatti Punjab Di,No,No,3.3,24,HSR,"North Indian, Chinese",300,Delivery
Hyderabad Bawarchi,No,No,3.9,118,Jayanagar,"North Indian, Biryani, Chinese",400,Delivery
Malabar Cafe,Yes,No,3.3,4,Bannerghatta Road,"South Indian, Kerala, Biryani",200,Delivery
Shree Thali,No,No,4,181,Koramangala 5th Block,North Indian,75,Delivery
Gundappa Donne Biryani,No,No,3.1,117,Koramangala 7th Block,Biryani,100,Delivery
Ambur Biryani,No,No,3.5,17,Koramangala 3rd Block,"Biryani, Chinese",125,Delivery
Panjabi Dhaba,No,No,3.2,21,Bommanahalli,"North Indian, Chinese",150,Delivery
Shake It Off,No,No,3.700497969,0,Bommanahalli,Beverages,100,Delivery
Smooth,No,No,3.700497969,0,Bannerghatta Road,"Desserts, Ice Cream",100,Delivery
Star Kitchen,No,No,3.3,9,Bommanahalli,"Chinese, North Indian, Biryani",75,Delivery
Flavorsome Bakes,No,No,4,93,Bannerghatta Road,"Bakery, Desserts",400,Delivery
Sree Banashankari Donne Biriyani,Yes,No,3.700497969,0,Rajajinagar,"North Indian, Kebab",125,Delivery
Northern Bites,No,No,3.700497969,0,Bannerghatta Road,"Chinese, North Indian, Biryani",175,Delivery
Cafe Arabica,No,No,3.8,69,Bannerghatta Road,"Cafe, Bakery",350,Delivery
Swa-Desh A Family Restaurant,No,No,3.700497969,0,Koramangala 1st Block,North Indian,150,Delivery
Mayuri Andhra Mess,No,No,3.700497969,0,Koramangala 5th Block,"Andhra, Biryani",150,Delivery
North Indian And Bengali Mess,No,No,3.7,34,Koramangala 5th Block,"North Indian, Bengali",150,Delivery
Bangalore Pizza & Pulse Juice Bar,No,No,3.700497969,0,Bannerghatta Road,"Juices, Pizza",250,Delivery
The Donut Baker,No,No,3.8,62,Koramangala 7th Block,Desserts,75,Delivery
Food Theory,No,No,2.6,56,HSR,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",250,Delivery
Momos Corner,No,No,3.3,6,HSR,Chinese,125,Delivery
Daily Bread,No,No,3.2,63,JP Nagar,"Bakery, Fast Food, Italian",300,Delivery
Rotti Mane,No,No,3.6,13,Jayanagar,South Indian,100,Delivery
Aroma Cafe,No,No,3.700497969,0,HSR,"Rolls, Sandwich",150,Delivery
Jaganath Restaurant And Hotel,No,No,3.2,8,JP Nagar,North Indian,150,Delivery
Meal In A Box,No,No,3.6,16,Koramangala 7th Block,Street Food,150,Delivery
Panwaadi,No,No,3.700497969,0,Koramangala 4th Block,"Desserts, Paan",50,Delivery
