restaurant_name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,restaurant_type
Cake of the Day,No,No,3.7,78,Banashankari,Bakery,75,Delivery
Kabab Magic,Yes,No,4.1,1720,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",200,Delivery
Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,South Indian,50,Delivery
Gustoes Beer House,No,No,4.1,868,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",600,Delivery
Sugar Rush,No,No,3.8,39,Banashankari,"Bakery, Desserts",150,Delivery
Burger King,Yes,No,3.2,71,Basavanagudi,"Burger, Fast Food, Beverages",300,Delivery
The Good Bowl,Yes,No,3.6,6,Banashankari,"Italian, North Indian, Biryani",250,Delivery
The Biryani Cafe,No,No,4.1,520,Banashankari,"Biryani, Chinese, Kebab",150,Delivery
Spicy Tandoor,No,No,3.700497969,0,Banashankari,North Indian,75,Delivery
LSD Cafe,No,No,2.9,84,Banashankari,"Chinese, Continental, Italian, North Indian",350,Delivery
Rolls On Wheels,No,No,3.6,299,Banashankari,"Fast Food, Rolls, Momos",150,Delivery
Om Sri Vinayaka Chats,No,No,3.700497969,0,Banashankari,"Street Food, Fast Food",250,Delivery
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,South Indian,75,Delivery
Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,"Biryani, South Indian",150,Delivery
Kolbeh,No,No,3.7,22,Banashankari,Fast Food,250,Delivery
Upahar Sagar,No,No,3.8,39,Banashankari,"South Indian, Chinese, North Indian",175,Delivery
Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",250,Delivery
Frozen Bottle,Yes,No,4.2,146,Banashankari,"Beverages, Desserts, Ice Cream",200,Delivery
Parimala Sweets,No,No,3.5,14,Banashankari,"Mithai, Street Food",100,Delivery
Vaishali Deluxe,No,No,3.8,42,Banashankari,"North Indian, Chinese",350,Delivery
Chill Out,No,No,3.700497969,0,Banashankari,"South Indian, Chinese",50,Delivery
The Big O Bakes,No,No,4,66,Banashankari,"Bakery, Desserts",150,Delivery
Meghana Foods,Yes,No,4.4,4401,Jayanagar,"Biryani, North Indian, Chinese",300,Delivery
Krishna Sagar,No,No,3.5,31,Banashankari,North Indian,100,Delivery
Dessert Rose,No,No,3.5,7,Banashankari,Desserts,250,Delivery
Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Biryani,125,Delivery
Me And My Cake,No,No,3.700497969,0,Banashankari,"Bakery, Desserts",250,Delivery
Sunsadm,No,No,3.700497969,0,Banashankari,South Indian,200,Delivery
Annapooraneshwari Mess,No,No,3.700497969,0,Banashankari,South Indian,100,Delivery
Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Ice Cream,150,Delivery
Nandhini Deluxe,No,No,2.6,283,Banashankari,North Indian,300,Delivery
Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,"South Indian, North Indian, Chinese",400,Delivery
Kaggis,No,No,3.8,64,Banashankari,"Fast Food, Bakery",125,Delivery
Ayda Persian Kitchen,No,No,3.7,39,Banashankari,"North Indian, Iranian",475,Delivery
Chatar Patar,No,No,3.7,65,Banashankari,"Fast Food, Street Food",150,Delivery
Polar Bear,Yes,No,3.8,71,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",200,Delivery
Kidambi's Kitchen,No,No,3.5,52,Banashankari,South Indian,150,Delivery
Mane Thindi,No,No,3.7,130,Banashankari,South Indian,100,Delivery
Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,"South Indian, Biryani",150,Delivery
Floured-Baked With Love,No,No,3.8,45,Banashankari,Bakery,200,Delivery
CAFE NOVA,No,No,3.2,11,Banashankari,"Cafe, Bakery",300,Delivery
Cakes & Slices,No,No,3.5,13,Banashankari,"Bakery, Desserts",150,Delivery
Spice 9,No,No,3.4,8,Banashankari,"Biryani, North Indian, Chinese, Fast Food",150,Delivery
Coffee Shopee,No,No,3.700497969,0,Banashankari,Beverages,125,Delivery
Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Biryani,150,Delivery
Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,North Indian,150,Delivery
Hari Super Sandwich,No,No,3.700497969,0,Banashankari,"Sandwich, Pizza, Beverages",100,Delivery
Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,North Indian,75,Delivery
Just Bake,No,No,3.4,8,Banashankari,"Bakery, Desserts",200,Delivery
Dharwad Line Bazaar Mishra Pedha,No,No,3.700497969,0,Banashankari,Mithai,75,Delivery
Cake Bite,No,No,3.700497969,0,Banashankari,Bakery,150,Delivery
Aarush's Food Plaza,No,No,3.700497969,0,Banashankari,"North Indian, Street Food",100,Delivery
Wood Stove,No,No,3.700497969,0,Banashankari,South Indian,75,Delivery
Kulfi & More,No,No,3.700497969,0,Banashankari,"Ice Cream, Desserts, Juices",75,Delivery
Kannadigas Karavali,No,No,3.700497969,0,Banashankari,"Mangalorean, South Indian, North Indian",125,Delivery
K27 - The Pub,No,No,3.1,30,Banashankari,"Chinese, North Indian",500,Delivery
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,"South Indian, North Indian, Chinese, Street Food",150,Delivery
New Mangalore Lunch Home,No,No,3.3,7,Banashankari,"Mangalorean, South Indian, North Indian",100,Delivery
Coffee Bytes,No,No,3.1,6,Banashankari,"Fast Food, South Indian",50,Delivery
Parjanya Chat Zone,No,No,3.3,17,Banashankari,"Street Food, Fast Food",100,Delivery
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,"Ice Cream, Desserts",100,Delivery
Soms Kitchen & Bakes,No,No,3.700497969,0,Banashankari,"South Indian, North Indian, Continental",200,Delivery
Banashankari Nati Style,No,No,3.700497969,0,Banashankari,"Biryani, Chinese, South Indian, North Indian",175,Delivery
Ruchi Maayaka,No,No,3.3,8,Banashankari,South Indian,50,Delivery
Mohitesh Hut Roll,No,No,3.700497969,0,Banashankari,"Rolls, North Indian",75,Delivery
Sri Basaveshwar Jolada Rotti Oota,No,No,3.700497969,0,Banashankari,South Indian,75,Delivery
